"TREE_TAG","SPECIES","DBH1","DBH2","STATUS1","STATUS2","X","Y","R","u","v","DI","DI_ii","Abies holophylla","Abies nephrolepis","Acer barbinerve"
2119032,"Abies holophylla",18.8,21.8,1,1,361.32,418.08,50,1,1,2.65337347414643,0,0,0,2.65337347414643
103015,"Abies holophylla",23.3,23.7,1,1,43.05,16.97,50,1,1,3.01046633500793,0,0,0,3.01046633500793
524200,"Abies holophylla",68.5,69.3,1,1,465.7,90.4,50,1,1,8.95996362799729,0,0,6.26303177173803,2.69693185625925
425005,"Abies nephrolepis",44,45.9,1,1,481.9,62.7,50,1,1,11.4178089642195,0,2.13466086749597,6.20681523639533,3.0763328603282
525012,"Abies nephrolepis",58.6,60.8,1,1,487.5,85.5,50,1,1,9.90449184776151,0,3.06571327701161,5.70364748184793,1.13513108890197
125023,"Abies nephrolepis",11,12.4,1,1,485.6,12.8,50,1,1,1.86382202033764,0,0,0,1.86382202033764
425015,"Abies nephrolepis",47.5,49,1,1,480.3,75.4,50,1,1,14.3318777702696,0,3.27245895076531,8.16181908619931,2.89759973330499
101004,"Acer barbinerve",2.95,3.22,1,1,0.46,4.45,50,1,1,5.97604120923161,0,0.52486816912731,0,5.4511730401043
101005,"Acer barbinerve",1.6,1.5,1,1,4.7,4.91,50,1,1,9.69474642359277,0,0.579579378129895,0,9.11516704546288
1815077,"Acer barbinerve",4.89,5.9,1,1,298.24,340.5,50,1,1,3.35383613520217,0,0,0,3.35383613520217
1616023,"Acer barbinerve",2.04,2.04,1,1,308.22,311.45,50,1,1,3.59513882502344,0,0,0,3.59513882502344
108009,"Acer barbinerve",3.04,3.1,1,1,146.44,8.75,50,1,1,15.3659494240209,0,0,0,15.3659494240209
101014,"Acer barbinerve",1.43,NA,1,0,5.41,6.65,50,1,1,12.7721422114607,0,0.596990185548388,0,12.1751520259123
101015,"Acer barbinerve",1.82,1.81,1,1,5.81,7.44,50,1,1,14.3938476060899,0,0.60613843307439,0,13.7877091730155
101019,"Acer barbinerve",2.48,2.6,1,1,6.41,8.06,50,1,1,12.5629061799111,0,0.617909396456696,0,11.9449967834544
101024,"Acer barbinerve",2.25,2.4,1,1,6.68,6.75,50,1,1,11.577701942228,0,0.616750702972696,0,10.9609512392553
1616031,"Acer barbinerve",2.81,NA,1,0,310.77,319.84,50,1,1,3.69213088334135,0,0,0,3.69213088334135
1815207,"Acer barbinerve",1.619,1.46,1,1,289.6,343.46,50,1,1,3.31590295406319,0,0,0,3.31590295406319
101029,"Acer barbinerve",2.02,2.22,1,1,8.1,3.75,50,1,1,7.15871730185637,0,0.623549704261723,0,6.53516759759464
2515205,"Acer barbinerve",3.798,5.5,1,1,288.05,492.66,50,1,1,0.889598932593621,0,0,0,0.889598932593621
101034,"Acer barbinerve",2.78,NA,1,0,1.55,11.42,50,1,1,5.80991264791132,0,0.556491403405812,0,5.2534212445055
101038,"Acer barbinerve",2.05,2.9,1,1,5.37,17.25,50,1,1,4.69615425154777,0,0.618348108195151,0,4.07780614335262
612209,"Acer barbinerve",3.166,NA,1,0,230.34,111.33,50,1,1,1.20450276846666,0,0,0,1.20450276846666
2324023,"Acer barbinerve",2.65,3,1,1,469.9,454.2,50,1,1,4.33925795473802,0,0,0,4.33925795473802
1908218,"Acer barbinerve",1.85,NA,1,0,151.57,366.18,50,1,1,0.510544871831966,0,0,0,0.510544871831966
2303021,"Acer barbinerve",2.86,NA,1,0,43.1,454.3,50,1,1,4.2466975631291,0,0,0,4.2466975631291
1003202,"Acer barbinerve",2.1,2.1,1,1,45.45,182,50,1,1,0.394961088036495,0,0,0,0.394961088036495
1725096,"Acer barbinerve",6.482,NA,1,0,496.3,323.4,50,1,1,2.68908237939901,0,0,0,2.68908237939901
321029,"Acer barbinerve",1.328,1.39,1,1,401.98,53.8,50,1,1,3.66521938492605,0,0,0,3.66521938492605
2002038,"Acer barbinerve",4.6,NA,1,0,32.65,396.43,50,1,1,0.690066692057899,0,0,0,0.690066692057899
1121016,"Acer barbinerve",3.052,3.1,1,1,404,210.9,50,1,1,5.84736696512567,0,0,0,5.84736696512567
1121019,"Acer barbinerve",2.844,2.8,1,1,400.8,212.2,50,1,1,5.21487621560076,0,0,0,5.21487621560076
2113205,"Acer barbinerve",2.928,NA,1,0,252.12,410.89,50,1,1,2.33063317673807,0,0,0,2.33063317673807
1121022,"Acer barbinerve",2.074,2.2,1,1,404.3,214.3,50,1,1,5.85211110241558,0,0,0,5.85211110241558
515016,"Acer barbinerve",2.02,2.09,1,1,285.6,80.68,50,1,1,3.78684518074573,0,0,0,3.78684518074573
2113208,"Acer barbinerve",2.427,NA,1,0,252.67,406.68,50,1,1,2.20439383026276,0,0,0,2.20439383026276
1617002,"Acer barbinerve",3.26,3.4,1,1,322.53,302.96,50,1,1,4.70383606726054,0,0,0,4.70383606726054
101072,"Acer barbinerve",1.89,NA,1,0,17.02,2.45,50,1,1,5.02500930002825,0,0.78172458859167,0,4.24328471143658
101074,"Acer barbinerve",3.1,3.3,1,1,19.78,1.42,50,1,1,4.1423625440703,0,0.832517042961586,0,3.30984550110871
2324043,"Acer barbinerve",3.06,2.9,1,1,476.5,449.3,50,1,1,4.98788125486583,0,0,0,4.98788125486583
418056,"Acer barbinerve",4.207,5.2,1,1,355,79.99,50,1,1,1.80425412659716,0,0,0,1.80425412659716
101201,"Acer barbinerve",3.34,NA,1,0,3.12,4.07,50,1,1,7.36776252504277,0,0.555263426473618,0,6.81249909856915
101202,"Acer barbinerve",3.4,3.37,1,1,5.18,9.79,50,1,1,10.118586344701,0,0.604493900738462,0,9.51409244396257
101203,"Acer barbinerve",2.4,2.77,1,1,5.27,8.9,50,1,1,12.7567822858069,0,0.60312252113906,0,12.1536597646678
1617015,"Acer barbinerve",1.48,NA,1,0,324.98,310.67,50,1,1,7.5951732336494,0,0,0,7.5951732336494
2114010,"Acer barbinerve",2.147,2.3,1,1,262.65,408,50,1,1,1.62826420261926,0,0,0,1.62826420261926
914029,"Acer barbinerve",1.86,NA,1,0,273.68,177.18,50,1,1,7.15224827460756,0,0,0,7.15224827460756
418067,"Acer barbinerve",2.006,1.74,1,1,353.2,65.3,50,1,1,1.98135191632086,0,0,0,1.98135191632086
101210,"Acer barbinerve",1.65,1.67,1,1,10.46,14.54,50,1,1,5.11332122410386,0,0.712964082299181,0,4.40035714180467
2324214,"Acer barbinerve",4.79,NA,1,0,479,440.6,50,1,1,4.26997994873355,0,0,0,4.26997994873355
1216005,"Acer barbinerve",1.668,1.62,1,1,302.81,223.74,50,1,1,3.45261783619312,0,0,0,3.45261783619312
2021037,"Acer barbinerve",4.13,4.5,1,1,417.7,397.3,50,1,1,4.264366378048,0,0,0,4.264366378048
2325006,"Acer barbinerve",4.43,4.5,1,1,480.5,445.4,50,1,1,4.79596539511716,0,0,0,4.79596539511716
613045,"Acer barbinerve",1.836,NA,1,0,259.07,101.87,50,1,1,3.24699083997402,0,0,0,3.24699083997402
1617029,"Acer barbinerve",2.18,NA,1,0,326.08,311.03,50,1,1,7.02055228794315,0,0,0,7.02055228794315
2325011,"Acer barbinerve",4.8,5.1,1,1,489.5,445.4,50,1,1,4.18354712395405,0,0,0,4.18354712395405
101218,"Acer barbinerve",2.23,1.97,1,1,11.38,1.85,50,1,1,5.3814732659429,0,0.663927257694117,0,4.71754600824878
124006,"Acer barbinerve",2.39,NA,1,0,460.7,7.1,50,1,1,2.21427836980564,0,0,0.430628160977449,1.78365020882819
2325015,"Acer barbinerve",2.55,2.7,1,1,482.7,450.4,50,1,1,4.65750510798398,0,0,0,4.65750510798398
1617037,"Acer barbinerve",2.33,2.68,1,1,334.92,312.28,50,1,1,7.19011496154103,0,0,0,7.19011496154103
321065,"Acer barbinerve",3.275,3.56,1,1,412.6,49.8,50,1,1,4.87976126635143,0,0,0,4.87976126635143
321066,"Acer barbinerve",2.284,NA,1,0,413.8,45.7,50,1,1,5.17984383914738,0,0,0,5.17984383914738
1121071,"Acer barbinerve",1.324,NA,1,0,417.7,205.2,50,1,1,9.41489985162922,0,0,0,9.41489985162922
222202,"Acer barbinerve",3.38,3.51,1,1,428,27.1,50,1,1,4.12130844240191,0,0,0,4.12130844240191
1121075,"Acer barbinerve",3.884,4,1,1,418.6,209.7,50,1,1,6.74958060759426,0,0,0,6.74958060759426
2303205,"Acer barbinerve",2.55,3.3,1,1,42.73,453.8,50,1,1,4.74653614110604,0,0,0,4.74653614110604
1121078,"Acer barbinerve",1.846,1.9,1,1,416.6,203.4,50,1,1,9.28432119838474,0,0,0,9.28432119838474
1121079,"Acer barbinerve",1.603,2,1,1,416.5,200.2,50,1,1,7.19247324381903,0,0,0,7.19247324381903
614001,"Acer barbinerve",2.58,NA,1,0,260.75,103.5,50,1,1,2.91123754664933,0,0,0,2.91123754664933
2114042,"Acer barbinerve",5.348,5.5,1,1,275.4,409.05,50,1,1,0.981275927237745,0,0,0,0.981275927237745
1617051,"Acer barbinerve",1.69,1.92,1,1,339.69,311.53,50,1,1,8.63263113624637,0,0,0,8.63263113624637
1121201,"Acer barbinerve",3.686,3.7,1,1,404.1,201.7,50,1,1,5.19648028661373,0,0,0,5.19648028661373
321209,"Acer barbinerve",1.147,NA,1,0,418.1,53.8,50,1,1,5.43019716985189,0,0,0,5.43019716985189
1121208,"Acer barbinerve",5.123,5.7,1,1,411.5,212.3,50,1,1,6.60460603582525,0,0,0,6.60460603582525
1121209,"Acer barbinerve",2.494,2.5,1,1,413.8,211,50,1,1,8.14702177050058,0,0,0,8.14702177050058
907004,"Acer barbinerve",3.15,3.27,1,1,120.25,163.65,50,1,1,1.4734775766459,0,0,0,1.4734775766459
322006,"Acer barbinerve",3.346,3.6,1,1,425.2,46.9,50,1,1,5.52858073638245,0,0,0,5.52858073638245
2325040,"Acer barbinerve",3.52,3.5,1,1,491.7,443.1,50,1,1,4.1276680969124,0,0,0,4.1276680969124
2421009,"Acer barbinerve",1.67,1.87,1,1,404.5,469.1,50,1,1,2.6478034715496,0,0,0,2.6478034715496
1121214,"Acer barbinerve",2.991,3.5,1,1,416.4,214.8,50,1,1,6.51637524858705,0,0,0,6.51637524858705
